Загрузите фото автомобиля,Результат,Фото с предсказанием,flag,username,timestamp
flagged\Загрузите фото автомобиля\787f4ef178c356d96dda\3f7b7b5ab1c96cec9d8c73d51a6e7b66.jpg,"'
    **Предсказание:**  
    Чистота: clean (вероятность dirty: 0.00)  
    Целостность: intact (вероятность damaged: 0.01)  
    ",flagged\Фото с предсказанием\3c4250d2b2f13cd7851f\3f7b7b5ab1c96cec9d8c73d51a6e7b66.jpeg,,,2025-09-13 13:04:21.803446
flagged\Загрузите фото автомобиля\9d22b11a3b92009550f4\3eebf9538d53a03902bc47ff6ed6ea2b.jpg,,,,,2025-09-13 13:04:36.998855
